Brno Bus Station simulace
13:30 [Scheduled generator]: Bus coming from connection Brno - Praha
13:30 [Scheduled generator]: Bus coming from connection Praha - Brno
13:30 [Bus]: Delayed bus ariving 2.336302
13:35 [Scheduled generator]: Bus coming from connection Zlin - Brno
14:0 [Scheduled generator]: Bus coming from connection Budapest - Praha
14:0 [Scheduled generator]: Bus coming from connection Brno - Praha
14:0 [Scheduled generator]: Bus coming from connection Praha - Brno
14:0 [Bus]: Delayed bus ariving 5.563647
14:25 [Scheduled generator]: Bus coming from connection Ostrava - Brno
14:30 [Scheduled generator]: Bus coming from connection Brno - Zlin
14:30 [Scheduled generator]: Bus coming from connection Brno - Ostrava
14:30 [Scheduled generator]: Bus coming from connection Brno - Praha
14:30 [Scheduled generator]: Bus coming from connection Praha - Brno
14:50 [Scheduled generator]: Bus coming from connection Viden - Praha
15:0 [Scheduled generator]: Bus coming from connection Praha - Viden
15:0 [Scheduled generator]: Bus coming from connection Brno - Praha
15:0 [Scheduled generator]: Bus coming from connection Praha - Brno
15:25 [Scheduled generator]: Bus coming from connection Ostrava - Brno
15:30 [Scheduled generator]: Bus coming from connection Praha - Budapest
15:30 [Scheduled generator]: Bus coming from connection Brno - Praha
15:30 [Scheduled generator]: Bus coming from connection Praha - Brno
16:0 [Scheduled generator]: Bus coming from connection Brno - Praha
16:0 [Scheduled generator]: Bus coming from connection Praha - Brno
16:16 [Scheduled generator]: Bus coming from connection Ceske Budejovice - Brno
16:30 [Scheduled generator]: Bus coming from connection Budapest - Praha
16:30 [Scheduled generator]: Bus coming from connection Brno - Ostrava
16:30 [Scheduled generator]: Bus coming from connection Brno - Praha
16:30 [Scheduled generator]: Bus coming from connection Praha - Brno
16:50 [Scheduled generator]: Bus coming from connection Zlin - Brno
16:50 [Scheduled generator]: Bus coming from connection Viden - Praha
16:50 [Bus]: Delayed bus ariving 0.148102
17:0 [Scheduled generator]: Bus coming from connection Praha - Viden
17:0 [Scheduled generator]: Bus coming from connection Brno - Praha
17:0 [Scheduled generator]: Bus coming from connection Praha - Brno
17:0 [Bus]: Delayed bus ariving 14.443502
17:25 [Scheduled generator]: Bus coming from connection Ostrava - Brno
17:30 [Scheduled generator]: Bus coming from connection Bratislava - Praha
17:30 [Scheduled generator]: Bus coming from connection Brno - Ceske Budejovice
17:30 [Scheduled generator]: Bus coming from connection Praha - Budapest
17:30 [Scheduled generator]: Bus coming from connection Budapest - Praha
17:30 [Scheduled generator]: Bus coming from connection Brno - Ostrava
17:30 [Scheduled generator]: Bus coming from connection Brno - Praha
17:30 [Scheduled generator]: Bus coming from connection Praha - Brno
17:30 [Bus]: Delayed bus ariving 23.063512
17:30 [Bus]: Delayed bus ariving 3.314480
18:0 [Scheduled generator]: Bus coming from connection Brno - Zlin
18:0 [Scheduled generator]: Bus coming from connection Bratislava - Praha
18:0 [Scheduled generator]: Bus coming from connection Brno - Praha
18:0 [Scheduled generator]: Bus coming from connection Praha - Brno
18:0 [Bus]: Delayed bus ariving 9.087255
18:30 [Scheduled generator]: Bus coming from connection Temesvar - Praha
18:30 [Scheduled generator]: Bus coming from connection Brno - Ostrava
18:30 [Scheduled generator]: Bus coming from connection Brno - Praha
18:30 [Scheduled generator]: Bus coming from connection Praha - Brno
18:40 [Scheduled generator]: Bus coming from connection Praha - Split
18:40 [Bus]: Delayed bus ariving 4.256664
18:50 [Scheduled generator]: Bus coming from connection Viden - Praha
19:0 [Scheduled generator]: Bus coming from connection Brno - Praha
19:0 [Scheduled generator]: Bus coming from connection Praha - Brno
19:10 [Scheduled generator]: Bus coming from connection Kosice - Praha
19:25 [Scheduled generator]: Bus coming from connection Brno - Praha
19:30 [Scheduled generator]: Bus coming from connection Praha - Bratislava
19:30 [Scheduled generator]: Bus coming from connection Praha - Budapest
19:30 [Scheduled generator]: Bus coming from connection Budapest - Praha
19:30 [Scheduled generator]: Bus coming from connection Praha - Brno
19:30 [Scheduled generator]: Bus coming from connection Brno - Praha
19:30 [Bus]: Delayed bus ariving 10.291012
19:30 [Scheduled generator]: Bus coming from connection Brno - Praha
19:35 [Scheduled generator]: Bus coming from connection Zlin - Brno
20:0 [Scheduled generator]: Bus coming from connection Praha - Brno
20:0 [Scheduled generator]: Bus coming from connection Brno - Praha
20:25 [Scheduled generator]: Bus coming from connection Ostrava - Brno
20:30 [Scheduled generator]: Bus coming from connection Praha - Viden
20:45 [Scheduled generator]: Bus coming from connection Ceske Budejovice - Brno
20:45 [Bus]: Delayed bus ariving 0.292405
20:50 [Scheduled generator]: Bus coming from connection Viden - Praha
21:0 [Scheduled generator]: Bus coming from connection Brno - Neapol
21:0 [Scheduled generator]: Bus coming from connection Brno - Praha
21:0 [Scheduled generator]: Bus coming from connection Praha - Viden
21:25 [Scheduled generator]: Bus coming from connection Ostrava - Brno
21:30 [Scheduled generator]: Bus coming from connection Praha - Brno
22:30 [Scheduled generator]: Bus coming from connection Budapest - Praha
22:30 [Scheduled generator]: Bus coming from connection Brno - Praha
22:50 [Scheduled generator]: Bus coming from connection Viden - Praha
23:0 [Scheduled generator]: Bus coming from connection Praha - Brno
23:0 [Scheduled generator]: Bus coming from connection Brno - Praha
23:55 [Scheduled generator]: Bus coming from connection Praha - Brno
24:0 [Statistics]: Platform number 1
+----------------------------------------------------------+
| FACILITY                                                 |
+----------------------------------------------------------+
|  Status = BUSY                                           |
|  Time interval = 0 - 1440                                |
|  Number of requests = 67                                 |
|  Average utilization = 0.461806                          |
+----------------------------------------------------------+

24:0 [Statistics]: Platform number 2
+----------------------------------------------------------+
| FACILITY                                                 |
+----------------------------------------------------------+
|  Status = not BUSY                                       |
|  Time interval = 0 - 1440                                |
|  Number of requests = 43                                 |
|  Average utilization = 0.298611                          |
+----------------------------------------------------------+

24:0 [Statistics]: Platform number 3
+----------------------------------------------------------+
